year,isu_nm,cour_div,term,department,time_room,campus,prof_nm,waiting_yn,cour_nm,dept_cd,cour_cls,time,apply_dept
2022,전공필수,11,1R,간호학과,화(3) 우정간호학관 307호,서울,송준아,N,간호학개론,233,0,1(1),
2022,전공선택,10,1R,간호학과,수(1-2) 우정간호학관 101호,서울,김경해,N,건강과식이(영강),233,0,2(2),
2022,전공선택,10,1R,간호학과,월(3-4) 우정간호학관 101호,서울,김이랑,N,간호정보학및실습,233,0,2(2),
2022,전공선택,10,1R,간호학과,화(1-2) 우정간호학관 101호,서울,설근희,N,기초간호과학II,233,0,2(2),
2022,전공선택,10,1R,간호학과,화(5-6) 우정간호학관 101호,서울,신유경,N,기초간호과학III,233,0,3(3),
2022,전공선택,10,1R,간호학과,화(4) 우정간호학관 101호,서울,이창규,N,병원미생물학,233,0,1(1),
2022,전공선택,10,1R,간호학과,수(3-4) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,1,1(2),
2022,전공선택,10,1R,간호학과,수(5-6) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,2,1(2),
2022,전공선택,10,1R,간호학과,수(7-8) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,3,1(2),
2022,전공선택,10,1R,간호학과,목(1-2) 우정간호학관 101호,서울,서문경애,N,간호통계,233,0,2(2),
2022,전공필수,11,1R,간호학과,목(3-4) 우정간호학관 101호,서울,장성옥,N,기본간호학I,233,0,2(2),
2022,전공선택,10,1R,간호학과,목(5-6) 우정간호학관 101호,서울,장성옥,N,기본간호학실습I,233,1,1(2),
2022,전공선택,10,1R,간호학과,금(3-4) 우정간호학관 101호,서울,박원희,N,기본간호학실습I,233,2,1(2),
2022,전공선택,10,1R,간호학과,금(6-7) 우정간호학관 101호,서울,박원희,N,기본간호학실습I,233,3,1(2),
2022,전공필수,11,1R,간호학과,"수(4) 우정간호학관 201호<br>
금(2) 우정간호학관 201호",서울,"신나미,박수경",N,성인간호학I,233,0,3(3),
2022,전공선택,10,1R,간호학과,"화(4-5) 우정간호학관 201호<br>
목(1) 우정간호학관 201호",서울,"신나미,김경해",N,성인간호학II,233,0,3(3),
2022,전공선택,10,1R,간호학과,"화(6) 우정간호학관 201호<br>
수(5-6) 우정간호학관 201호",서울,"박수경,김성렬",N,성인간호학III,233,0,3(3),
2022,전공선택,10,1R,간호학과,,서울,박수경,N,성인간호학실습II,233,1,2(6),
2022,전공선택,10,1R,간호학과,,서울,김성렬,N,성인간호학실습II,233,2,2(6),
2022,전공선택,10,1R,간호학과,,서울,김경해,N,성인간호학실습II,233,3,2(6),
2022,전공선택,10,1R,간호학과,"화(4-5) 우정간호학관 401호<br>
목(4-5) 우정간호학관 401호",서울,김이랑,N,간호전문직과윤리,233,0,2(2),
2022,전공필수,11,1R,간호학과,"수(1-2) 우정간호학관 201호<br>
목(4) 우정간호학관 201호",서울,오원옥,N,아동간호학I,233,0,3(3),
2022,전공필수,11,1R,간호학과,"화(1-2) 우정간호학관 201호<br>
목(2) 우정간호학관 201호",서울,신현정,N,모성간호학I,233,0,3(3),
2022,전공선택,10,1R,간호학과,목(6-7) 우정간호학관 201호,서울,송준아,N,노인간호학,233,0,2(2),
2022,전공선택,10,1R,간호학과,우정간호학관 307호,서울,"설근희,서은혜",N,간호학실습입문,233,1,2(6),
2022,전공선택,10,1R,간호학과,우정간호학관 307호,서울,서은혜,N,간호학실습입문,233,2,2(6),
2022,전공선택,10,1R,간호학과,,서울,천홍진,N,간호학실습입문,233,3,2(6),
2022,전공선택,10,1R,간호학과,,서울,한지희,N,아동간호학실습,233,1,3(9),
2022,전공선택,10,1R,간호학과,,서울,"오원옥,한지희",N,아동간호학실습,233,2,3(9),
2022,전공선택,10,1R,간호학과,,서울,오원옥,N,아동간호학실습,233,3,3(9),
2022,전공선택,10,1R,간호학과,"화(1-2) 우정간호학관 401호<br>
수(1-2) 우정간호학관 401호",서울,한금선,N,정신간호학II,233,0,3(3),
2022,전공선택,10,1R,간호학과,,서울,신현정,N,모성간호학실습,233,1,3(9),
2022,전공선택,10,1R,간호학과,,서울,신현정,N,모성간호학실습,233,2,3(9),
2022,전공선택,10,1R,간호학과,,서울,신현정,N,모성간호학실습,233,3,3(9),
2022,전공선택,10,1R,간호학과,"수(4-6) 우정간호학관 401호<br>
목(1-2) 우정간호학관 401호",서울,문지현,N,지역사회간호학Ⅰ,233,0,3(3),
2022,전공필수,11,1R,간호학과,화(3) 우정간호학관 307호,서울,송준아,N,간호학개론,233,0,1(1),
2022,전공선택,10,1R,간호학과,수(1-2) 우정간호학관 101호,서울,김경해,N,건강과식이(영강),233,0,2(2),
2022,전공선택,10,1R,간호학과,월(3-4) 우정간호학관 101호,서울,김이랑,N,간호정보학및실습,233,0,2(2),
2022,전공선택,10,1R,간호학과,화(1-2) 우정간호학관 101호,서울,설근희,N,기초간호과학II,233,0,2(2),
2022,전공선택,10,1R,간호학과,화(5-6) 우정간호학관 101호,서울,신유경,N,기초간호과학III,233,0,3(3),
2022,전공선택,10,1R,간호학과,화(4) 우정간호학관 101호,서울,이창규,N,병원미생물학,233,0,1(1),
2022,전공선택,10,1R,간호학과,수(3-4) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,1,1(2),
2022,전공선택,10,1R,간호학과,수(5-6) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,2,1(2),
2022,전공선택,10,1R,간호학과,수(7-8) 우정간호학관 101호,서울,"설근희,신유경",N,기초간호과학실습II,233,3,1(2),
2022,전공선택,10,1R,간호학과,목(1-2) 우정간호학관 101호,서울,서문경애,N,간호통계,233,0,2(2),
2022,전공필수,11,1R,간호학과,목(3-4) 우정간호학관 101호,서울,장성옥,N,기본간호학I,233,0,2(2),
2022,전공선택,10,1R,간호학과,목(5-6) 우정간호학관 101호,서울,장성옥,N,기본간호학실습I,233,1,1(2),
2022,전공선택,10,1R,간호학과,금(3-4) 우정간호학관 101호,서울,박원희,N,기본간호학실습I,233,2,1(2),
2022,전공선택,10,1R,간호학과,금(6-7) 우정간호학관 101호,서울,박원희,N,기본간호학실습I,233,3,1(2),
2022,전공필수,11,1R,간호학과,"수(4) 우정간호학관 201호<br>
금(2) 우정간호학관 201호",서울,"신나미,박수경",N,성인간호학I,233,0,3(3),
2022,전공선택,10,1R,간호학과,"화(4-5) 우정간호학관 201호<br>
목(1) 우정간호학관 201호",서울,"신나미,김경해",N,성인간호학II,233,0,3(3),
