entire,campus,number,class_,seperate,major,class_name,prof,time,place
간호대학,서울,NRSG217,00,전공선택,간호학과,간호학개론,송준아,1(1),화(7) 우정간호학관 401호
간호대학,서울,NRSG220,00,전공선택,간호학과,"건강과식이(영강) 10:00~12:00
*신임교수님 강의예정",김경해,2(2),화(1-2) 우정간호학관 101호
간호대학,서울,NRSG233,00,전공선택,간호학과,간호정보학및실습 10시 강의 시작,강지원,2(2),금(1-2) 우정간호학관 101호
간호대학,서울,NRSG234,00,전공선택,간호학과,간호연구방법론 화 14:45~16:05 / 목 5-6교시,정지연,2(2),화(6) 우정간호학관 401호 목(5-6) 우정간호학관 401호
간호대학,서울,NRSG241,00,전공선택,간호학과,기초간호과학II,서은혜,2(2),수(1-2) 우정간호학관 101호
간호대학,서울,NRSG243,00,전공선택,간호학과,기초간호과학III,서은혜,3(3),화(5-6) 우정간호학관 101호
간호대학,서울,NRSG245,00,전공선택,간호학과,병원미생물학,이창규,1(1),화(4) 우정간호학관 101호
간호대학,서울,NRSG251,01,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(3-4) 우정간호학관 101호
간호대학,서울,NRSG251,02,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(5-6) 우정간호학관 101호
간호대학,서울,NRSG251,03,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(7-8) 우정간호학관 101호
간호대학,서울,NRSG253,00,전공선택,간호학과,간호통계,서문경애,2(2),목(1-2) 우정간호학관 101호
세계의문화,서울,GEFC076,00,교양,교양교육원,유라시아한인문화탐방,김진규,3(3),화(5) 교양관 202호 목(5) 교양관 202호
선택교양,서울,CHIN105,00,교양,중어중문학과,중국문학산책,안예선,3(3),화(7-8) 서관 215호 목(7-8) 서관 215호
사회의이해,서울,GESO068,00,교양,교양교육원,현대식품생산과소비의사회학,김철규,3(3),화(2) 교양관 309호 목(2) 교양관 309호
문학과예술,서울,GELA050,00,교양,교양교육원,한국현대시산책,고형진,3(3),화(6) 교육관 204호 목(6) 교육관 204호
글쓰기,서울,GEWR001,01,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김연수,2(3),월(1) 교양관 303호 수(1) 교양관 303호
간호대학,서울,NRSG261,00,전공필수,간호학과,기본간호학I,장성옥,2(2),목(3-4) 우정간호학관 101호
간호대학,서울,NRSG265,01,전공선택,간호학과,기본간호학실습I,장성옥,1(2),목(5-6) 우정간호학관 101호
간호대학,서울,NRSG265,02,전공선택,간호학과,기본간호학실습I,박원희,1(2),금(3-4) 우정간호학관 101호
간호대학,서울,NRSG265,03,전공선택,간호학과,기본간호학실습I,박원희,1(2),금(6-7) 우정간호학관 101호
간호대학,서울,NRSG272,00,전공필수,간호학과,성인간호학I 금 9:30~10:55 / 13:00~14:25,박수경 김경해,3(3),금(1) 우정간호학관 201호 금(4-5) 우정간호학관 201호
