id,college,campus,code,class_num,seperate,major,class_name,prof,grade,day_place,day_1,place_1,day_2,place_2
0,간호대학,서울,NRSG217,0,전공선택,간호학과,간호학개론,송준아,1(1),화(7) 우정간호학관 401호,화(7),우정간호학관,,
1,간호대학,서울,NRSG220,0,전공선택,간호학과,"건강과식이(영강) 10:00~12:00
*신임교수님 강의예정",김경해,2(2),화(1-2) 우정간호학관 101호,화(1-2),우정간호학관,,
2,간호대학,서울,NRSG233,0,전공선택,간호학과,간호정보학및실습 10시 강의 시작,강지원,2(2),금(1-2) 우정간호학관 101호,금(1-2),우정간호학관,,
3,간호대학,서울,NRSG234,0,전공선택,간호학과,간호연구방법론 화 14:45~16:05 / 목 5-6교시,정지연,2(2),화(6) 우정간호학관 401호 목(5-6) 우정간호학관 401호,화(6),우정간호학관,목(5-6),우정간호학관
4,간호대학,서울,NRSG241,0,전공선택,간호학과,기초간호과학II,서은혜,2(2),수(1-2) 우정간호학관 101호,수(1-2),우정간호학관,,
5,간호대학,서울,NRSG243,0,전공선택,간호학과,기초간호과학III,서은혜,3(3),화(5-6) 우정간호학관 101호,화(5-6),우정간호학관,,
6,세계의문화,서울,GEFC076,0,교양,교양교육원,유라시아한인문화탐방,김진규,3(3),화(5) 교양관 202호 목(5) 교양관 202호,화(5),교양관,목(5),교양관
7,선택교양,서울,CHIN105,0,교양,중어중문학과,중국문학산책,안예선,3(3),화(7-8) 서관 215호 목(7-8) 서관 215호,화(7-8),서관,목(7-8),서관
8,사회의이해,서울,GESO068,0,교양,교양교육원,현대식품생산과소비의사회학,김철규,3(3),화(2) 교양관 309호 목(2) 교양관 309호,화(2),교양관,목(2),교양관
9,문학과예술,서울,GELA050,0,교양,교양교육원,한국현대시산책,고형진,3(3),화(6) 교육관 204호 목(6) 교육관 204호,화(6),운초우선교육관,목(6),운초우선교육관
10,글쓰기,서울,GEWR001,1,교양,교양교육원,글쓰기 2020학번 문과대(어문계열),김연수,2(3),월(1) 교양관 303호 수(1) 교양관 303호,월(1),교양관,수(1),교양관
11,간호대학,서울,NRSG245,0,전공선택,간호학과,병원미생물학,이창규,1(1),화(4) 우정간호학관 101호,화(4),우정간호학관,,
12,간호대학,서울,NRSG251,1,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(3-4) 우정간호학관 101호,수(3-4),우정간호학관,,
13,간호대학,서울,NRSG251,2,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(5-6) 우정간호학관 101호,수(5-6),우정간호학관,,
14,간호대학,서울,NRSG251,3,전공선택,간호학과,기초간호과학실습II,한아영,1(2),수(7-8) 우정간호학관 101호,수(7-8),우정간호학관,,
15,간호대학,서울,NRSG253,0,전공선택,간호학과,간호통계,서문경애,2(2),목(1-2) 우정간호학관 101호,목(1-2),우정간호학관,,
16,간호대학,서울,NRSG261,0,전공필수,간호학과,기본간호학I,장성옥,2(2),목(3-4) 우정간호학관 101호,목(3-4),우정간호학관,,
17,간호대학,서울,NRSG265,1,전공선택,간호학과,기본간호학실습I,장성옥,1(2),목(5-6) 우정간호학관 101호,목(5-6),우정간호학관,,
18,세계의문화,서울,GEFC091,0,교양,교양교육원,종교와영화,박종천,3(3),월(2) 교양관 602호 수(2) 교양관 602호,월(2),교양관,수(2),교양관
19,세계의문화,서울,GEFC098,0,교양,교양교육원,동아시아의공연예술과실크로드의문화교류,전경욱,3(3),화(6) 교양관 210호 목(6) 교양관 210호,화(6),교양관,목(6),교양관
20,세계의문화,서울,GEFC099,0,교양,교양교육원,일본의문화콘텐츠와전통문화,엄인경,3(3),화(1) 교양관 202호 목(1) 교양관 202호,화(1),교양관,목(1),교양관
