entire,campus,number,class_,seperate,major,class_name,prof,time,place
간호대학,서울,NRSG217,00,전공필수,간호학과,간호학개론,송준아,1(1),화(3) 우정간호학관 401호
간호대학,서울,NRSG220,00,전공선택,간호학과,건강과식이(영강) 화 10:00~11:50,김경해,2(2),화(1-2) 우정간호학관 101호
간호대학,서울,NRSG233,00,전공선택,간호학과,간호정보학및실습 금 09:00 ~ 10:50,이정민,2(2),금(1-2) 우정간호학관 101호
간호대학,서울,NRSG241,00,전공선택,간호학과,기초간호과학II 수 09:00~10:50,설근희,2(2),수(1-2) 우정간호학관 101호
간호대학,서울,NRSG243,00,전공선택,간호학과,기초간호과학III,설근희,3(3),화(5-6) 우정간호학관 101호
간호대학,서울,NRSG245,00,전공선택,간호학과,병원미생물학,이정민,1(1),화(7) 우정간호학관 101호
간호대학,서울,NRSG251,01,전공선택,간호학과,기초간호과학실습II 수 11:00~12:50,설근희,1(2),수(3-4) 우정간호학관 101호
간호대학,서울,NRSG251,02,전공선택,간호학과,기초간호과학실습II 수 14:00~15:50,신유경,1(2),수(5-6) 우정간호학관 101호
간호대학,서울,NRSG251,03,전공선택,간호학과,기초간호과학실습II 수 16:00~17:50,신유경,1(2),수(7-8) 우정간호학관 101호
간호대학,서울,NRSG253,00,전공선택,간호학과,간호통계,서문경애,2(2),목(1-2) 우정간호학관 101호
간호대학,서울,NRSG261,00,전공필수,간호학과,기본간호학I,장성옥,2(2),목(3-4) 우정간호학관 101호
윤리와사상,서울,GECE013,00,교양,교양교육원,"철학에로의초대:초월,신,자아,인식",김창래,3(3),월(6) 교양관 606호 수(6) 교양관 606호
세계의문화,서울,GEFC076,00,교양,교양교육원,유라시아한인문화탐방,김진규,3(3),화(5) 교양관 209호 목(5) 교양관 209호
선택교양,서울,CHBE153,00,교양,화공생명공학과,"화공생명공학컴퓨팅및정보학입문(영강) 해당 수업은 2,3학년의 수강을 권장함",허준,3(4),화(7-8) 신공학관B104호 목(7-8) 신공학관B104호
정량적사고,서울,GEQR067,00,교양,교양교육원,하이퍼텍스트와계산가능성,박성빈,3(3),화(3-4) 법학관신관 501호 목(3-4) 법학관신관 501호
선택교양(기초과학),서울,CHEM150,02,교양,화학과,일반화학및연습(영강) 기계공학부('21학번),진경석,3(3),화(6) 아산이학관 633호 목(6) 아산이학관 633호
역사의탐구,서울,GEHI033,00,교양,교양교육원,삼국유사의세계 ?,윤재민,3(3),화(1) 교양관 602호 목(1) 교양관 602호
자유정의진리,서울,GELI001,1A,교양,교양교육원,자유정의진리Ⅰ,정상원,3(3),월(1) 교양관 405호 수(1) 교양관 405호
선택교양(외국어),서울,CHIN103,01,교양,중어중문학과,교양중국어Ⅰ(외국어강의),최신혜,3(5),화(2) 교양관 304호 수(3-4) 교양관 304호
사회의이해,서울,GESO101,00,교양,교양교육원,범죄와사회,홍영기,3(3),월(6) 법학관신관 501호 수(6) 법학관신관 501호
글쓰기,서울,GEWR001,01,교양,교양교육원,글쓰기 2021학번 문과대(어문계열),김영애,2(3),월(1) 교양관 303호 수(1) 교양관 303호
문학과예술,서울,GELA050,00,교양,교양교육원,한국현대시산책,고형진,3(3),화(6) 교육관 204호 목(6) 교육관 204호
ACADEMIC ENGLISH,서울,IFLS011,01,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/경영대학, 자유전공학부(2021학번 신입생 우선 신청) 
*2~4학년 미이수자 및 재수강자-수강신청 정정기간 중 전체 학년 기간에 수강신청 가능 ",Anthony Death,1(2),월(1) 국제관 512A호 수(1) 국제관 512A호
과학과기술,서울,GEST029,00,교양,교양교육원,자연재해의이해,유철상,3(3),월(6) 교양관 602호 수(6) 교양관 602호
정보보호대학원(관),서울,ITCS201,00,전공선택,융합보안융합전공,사이버기술과법,장규현,3(3),수(5-6) 
1학년세미나,서울,GEKS005,06,교양,교양교육원,1학년세미나Ⅰ 심리학과,양은주,1(1),미정
