entire,campus,number,class_,seperate,major,class_name,prof,time,place
간호대학,서울,NRSG217,0,전공필수,간호학과,간호학개론,송준아,1(1),화(3) 우정간호학관 401호
간호대학,서울,NRSG220,0,전공선택,간호학과,건강과식이(영강) 화 10:00~11:50,김경해,2(2),화(1-2) 우정간호학관 101호
간호대학,서울,NRSG233,0,전공선택,간호학과,간호정보학및실습 금 09:00 ~ 10:50,이정민,2(2),금(1-2) 우정간호학관 101호
간호대학,서울,NRSG241,0,전공선택,간호학과,기초간호과학II 수 09:00~10:50,설근희,2(2),수(1-2) 우정간호학관 101호
간호대학,서울,NRSG243,0,전공선택,간호학과,기초간호과학III,설근희,3(3),화(5-6) 우정간호학관 101호
간호대학,서울,NRSG245,0,전공선택,간호학과,병원미생물학,이정민,1(1),화(7) 우정간호학관 101호
간호대학,서울,NRSG251,1,전공선택,간호학과,기초간호과학실습II 수 11:00~12:50,설근희,1(2),수(3-4) 우정간호학관 101호
간호대학,서울,NRSG251,2,전공선택,간호학과,기초간호과학실습II 수 14:00~15:50,신유경,1(2),수(5-6) 우정간호학관 101호
간호대학,서울,NRSG251,3,전공선택,간호학과,기초간호과학실습II 수 16:00~17:50,신유경,1(2),수(7-8) 우정간호학관 101호
간호대학,서울,NRSG253,0,전공선택,간호학과,간호통계,서문경애,2(2),목(1-2) 우정간호학관 101호
간호대학,서울,NRSG261,0,전공필수,간호학과,기본간호학I,장성옥,2(2),목(3-4) 우정간호학관 101호
윤리와사상,서울,GECE013,0,교양,교양교육원,"철학에로의초대:초월,신,자아,인식",김창래,3(3),월(6) 교양관 606호 수(6) 교양관 606호
세계의문화,서울,GEFC076,0,교양,교양교육원,유라시아한인문화탐방,김진규,3(3),화(5) 교양관 209호 목(5) 교양관 209호
선택교양,서울,CHBE153,0,교양,화공생명공학과,"화공생명공학컴퓨팅및정보학입문(영강) 해당 수업은 2,3학년의 수강을 권장함",허준,3(4),화(7-8) 신공학관B104호 목(7-8) 신공학관B104호
정량적사고,서울,GEQR067,0,교양,교양교육원,하이퍼텍스트와계산가능성,박성빈,3(3),화(3-4) 법학관신관 501호 목(3-4) 법학관신관 501호
선택교양(기초과학),서울,CHEM150,2,교양,화학과,일반화학및연습(영강) 기계공학부('21학번),진경석,3(3),화(6) 아산이학관 633호 목(6) 아산이학관 633호
역사의탐구,서울,GEHI033,0,교양,교양교육원,삼국유사의세계 ?,윤재민,3(3),화(1) 교양관 602호 목(1) 교양관 602호
자유정의진리,서울,GELI001,1A,교양,교양교육원,자유정의진리Ⅰ,정상원,3(3),월(1) 교양관 405호 수(1) 교양관 405호
선택교양(외국어),서울,CHIN103,1,교양,중어중문학과,교양중국어Ⅰ(외국어강의),최신혜,3(5),화(2) 교양관 304호 수(3-4) 교양관 304호
사회의이해,서울,GESO101,0,교양,교양교육원,범죄와사회,홍영기,3(3),월(6) 법학관신관 501호 수(6) 법학관신관 501호
글쓰기,서울,GEWR001,1,교양,교양교육원,글쓰기 2021학번 문과대(어문계열),김영애,2(3),월(1) 교양관 303호 수(1) 교양관 303호
문학과예술,서울,GELA050,0,교양,교양교육원,한국현대시산책,고형진,3(3),화(6) 교육관 204호 목(6) 교육관 204호
ACADEMIC ENGLISH,서울,IFLS011,1,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/경영대학, 자유전공학부(2021학번 신입생 우선 신청) 
*2~4학년 미이수자 및 재수강자-수강신청 정정기간 중 전체 학년 기간에 수강신청 가능 ",Anthony Death,1(2),월(1) 국제관 512A호 수(1) 국제관 512A호
과학과기술,서울,GEST029,0,교양,교양교육원,자연재해의이해,유철상,3(3),월(6) 교양관 602호 수(6) 교양관 602호
정보보호대학원(관),서울,ITCS201,0,전공선택,융합보안융합전공,사이버기술과법,장규현,3(3),수(5-6) 
1학년세미나,서울,GEKS005,6,교양,교양교육원,1학년세미나Ⅰ 심리학과,양은주,1(1),미정
법학전문대학원(관),서울,JURA206,0,전공선택,법학전문대학원,형사소송법,류경은,3(3),화(1) 법학관신관 501호 목(1) 법학관신관 501호
KU-KIST융합대학원(관),서울,KMCE104,0,전공선택,메디컬융합공학융합전공,융합과제설계:심화(영강),임동권,3(6),토(1-5) RnD센터 535호
정보보호학부,서울,CYDF185,0,전공필수,사이버국방학과,과목3,황석중,2(2),목(2-3) 로봇융합관 201호
정보대학,서울,BNCS301,0,전공필수,뇌인지과학융합전공,뇌및인지과학개론(영강),곽지현,3(3),화(5) 정보통신관 B101호 목(5) 정보통신관 B101호
정보대학,서울,STEP410,0,전공필수,소프트웨어벤처융합전공,현장실습V,유승욱,3(0),
정보대학,서울,COSE211,1,전공선택,컴퓨터학과,이산수학(영강),김정현,3(3),월(2) 애기능생활관 302호 수(2) 애기능생활관 302호
정경대학,서울,PAPP203,0,전공선택,행정학과,정책학,김두래,3(3),월(1) 정경관 503호 수(1) 정경관 503호
정경대학,서울,STAT180,1,전공선택,통계학과,통계계산소프트웨어,오찬욱 ,3(3),월(5) 정경관 206호 수(5) 정경관 206호
정보대학,서울,ISEC401,0,전공선택,정보보호 융합전공,고급해킹실습(영강),신영주,3(6),금(5-9) 
정경대학,서울,POLI211,0,전공선택,정치외교학과,한국정치사상,박홍규,3(3),화(6-8) 정경관 503호
이과대학,서울,MATH203,1,전공선택,수학과,이산수학(영강) ?,이동헌,3(3),월(5) 하나과학관 지하 207호 수(5) 하나과학관 지하 207호
이과대학,서울,CHEM201,0,전공필수,화학과,물리화학Ⅰ,곽경원,3(3),월(6) 아산이학관 535호 수(6) 아산이학관 535호
정경대학,서울,ECON171,1,전공필수,경제학과,경제원론I ?,박만섭,3(3),화(2) 본교대강당103(한국일보홀) 목(2) 본교대강당103(한국일보홀)
이과대학,서울,EAES201,0,전공필수,지구환경과학과,지구물질과학,김형수 이선용,3(4),월(2) 하나과학관 지하 219호 수(2) 하나과학관 지하 219호
이과대학,서울,PHYS203,1,전공필수,물리학과,전자물리학및실험(영강),강세종,3(5),월(6) 아산이학관 432호 월(7-9) 하나과학관 708호
정경대학,서울,FNEG211,0,전공선택,금융공학융합전공,사회과학도를위한계량금융,김상권,3(3),금(1-2) 정경관 101호
의과대학,서울,MEDI103,0,전공필수,의학과,생화학Ⅱ,박석인 박길홍손정원 박윤규김명곤 이경미김태우 김현경,3(4),의대 제1강의실
의과대학,서울,PMED165,0,전공필수,의예과,의과학연구기초Ⅰ,한기훈 정상택선웅 김태우박용두 박해철박성환 박만성이동민 김경미김현경 정용택최정민 전옥희,1(1),금(2-3) 의대 제3강의실
심리학부,서울,PSYC201,0,전공필수,심리학부,심리학의기초I,조양석,3(3),월(7-8) 법학관구관 B101호 수(7-8) 법학관구관 B101호
생명과학대학,서울,LESF403,0,전공필수,생태조경융합전공,조경디자인스튜디오및실습,강한솔,3(4),화(5-7) 생명과학관(서관) L102호
생명과학대학,서울,PMP301,0,전공선택,의과학융합전공,연구지도I,윤철원,1(3),금(7-9) 하나과학관 307호
간호대학,서울,NRSG265,1,전공선택,간호학과,기본간호학실습I,장성옥,1(2),목(5-6) 우정간호학관 101호
간호대학,서울,NRSG265,2,전공선택,간호학과,기본간호학실습I,박원희,1(2),금(3-4) 우정간호학관 101호
